"date","new_confirmed","new_deaths","ma_conf","ma_deaths"
2020-09-08,18661,514,29929.5714285714,688
2020-09-09,37162,1168,28602.2857142857,682.857142857143
2020-09-10,40711,974,27731.1428571429,698.142857142857
2020-09-11,41633,848,28069.8571428571,698
2020-09-12,30800,767,27593.5714285714,721.285714285714
2020-09-13,14020,405,27548,715.714285714286
2020-09-14,20611,458,29085.4285714286,733.428571428571
2020-09-15,34552,1082,31355.5714285714,814.571428571429
2020-09-16,37297,962,31374.8571428571,785.142857142857
2020-09-17,36405,869,30759.7142857143,770.142857142857
2020-09-18,39731,828,30488,767.285714285714
2020-09-19,29558,681,30310.5714285714,755
2020-09-20,15442,351,30513.7142857143,747.285714285714
2020-09-21,17635,466,30088.5714285714,748.428571428571
2020-09-22,34967,794,30147.8571428571,707.285714285714
2020-09-23,32726,932,29494.8571428571,703
2020-09-24,32014,795,28867.5714285714,692.428571428571
2020-09-25,32311,822,27807.5714285714,691.571428571429
2020-09-26,24717,722,27116,697.428571428571
2020-09-27,13778,337,26878.2857142857,695.428571428571
2020-09-28,16881,393,26770.5714285714,685
2020-09-29,32848,858,26467.8571428571,694.142857142857
2020-09-30,32901,868,26492.8571428571,685
2020-10-01,35755,887,27027.2857142857,698.142857142857
2020-10-02,32846,653,27103.7142857143,674
2020-10-03,23008,589,26859.5714285714,655
2020-10-04,8715,358,26136.2857142857,658
2020-10-05,26053,393,27446.5714285714,658
2020-10-06,31526,810,27257.7142857143,651.142857142857
2020-10-07,30938,725,26977.2857142857,630.714285714286
2020-10-08,26830,735,25702.2857142857,609
2020-10-09,27733,654,24971.8571428571,609.142857142857
2020-10-10,23744,534,25077,601.285714285714
2020-10-11,12191,278,25573.5714285714,589.857142857143
2020-10-12,8636,194,23085.4285714286,561.428571428571
2020-10-13,13356,378,20489.7142857143,499.714285714286
2020-10-14,27847,732,20048.1428571429,500.714285714286
2020-10-15,30426,814,20561.8571428571,512
2020-10-16,28596,643,20685.1428571429,510.428571428571
2020-10-17,20776,415,20261.1428571429,493.428571428571
2020-10-18,12051,235,20241.1428571429,487.285714285714
2020-10-19,16579,326,21375.8571428571,506.142857142857
2020-10-20,23766,648,22863,544.714285714286
2020-10-21,25843,570,22576.7142857143,521.571428571429
2020-10-22,24777,506,21769.7142857143,477.571428571429
2020-10-23,30001,563,21970.4285714286,466.142857142857
2020-10-24,24982,387,22571.2857142857,462.142857142857
2020-10-25,11697,201,22520.7142857143,457.285714285714
2020-10-26,19170,334,22890.8571428571,458.428571428571
2020-10-27,29982,526,23778.8571428571,441
2020-10-28,28351,504,24137.1428571429,431.571428571429
2020-10-29,26700,551,24411.8571428571,438
2020-10-30,24353,573,23605,439.428571428571
2020-10-31,13170,292,21917.5714285714,425.857142857143
2020-11-01,10188,203,21702,426.142857142857
2020-11-02,8249,164,20141.8571428571,401.857142857143
2020-11-03,13268,289,17754.1428571429,368
2020-11-04,24630,618,17222.5714285714,384.285714285714
2020-11-05,23845,603,16814.7142857143,391.714285714286
2020-11-06,20196,271,16220.8571428571,348.571428571429
2020-11-07,17748,228,16874.8571428571,339.428571428571
2020-11-08,10502,190,16919.7142857143,337.571428571429
2020-11-09,13414,186,17657.5714285714,340.714285714286
2020-11-10,46424,198,22394.1428571429,327.714285714286
2020-11-11,26244,574,22624.7142857143,321.428571428571
2020-11-12,33922,933,24064.2857142857,368.571428571429
2020-11-13,38718,576,26710.2857142857,412.142857142857
2020-11-14,26278,734,27928.8571428571,484.428571428571
2020-11-15,13906,140,28415.1428571429,477.285714285714
2020-11-16,15744,256,28748,487.285714285714
2020-11-17,35490,679,27186,556
2020-11-18,34752,754,28401.4285714286,581.714285714286
2020-11-19,35862,650,28678.5714285714,541.285714285714
2020-11-20,38770,513,28686,532.285714285714
2020-11-21,30222,357,29249.4285714286,478.428571428571
2020-11-22,17926,178,29823.7142857143,483.857142857143
2020-11-23,18158,355,30168.5714285714,498
2020-11-24,34533,627,30031.8571428571,490.571428571429
2020-11-25,44611,622,31440.2857142857,471.714285714286
2020-11-26,40902,711,32160.2857142857,480.428571428571
2020-11-27,33508,559,31408.5714285714,487
2020-11-28,51485,544,34446.1428571429,513.714285714286
2020-11-29,21012,233,34887,521.571428571429
2020-11-30,23695,351,35678,521
2020-12-01,51985,685,38171.1428571429,529.285714285714
2020-12-02,48475,677,38723.1428571429,537.142857142857
2020-12-03,50139,763,40042.7142857143,544.571428571429
2020-12-04,47671,677,42066,561.428571428571
2020-12-05,40282,648,40465.5714285714,576.285714285714
2020-12-06,26430,339,41239.5714285714,591.428571428571
2020-12-07,27024,425,41715.1428571429,602
2020-12-08,47796,798,41116.7142857143,618.142857142857
2020-12-09,54591,852,41990.4285714286,643.142857142857
2020-12-10,53550,770,42477.7142857143,644.142857142857
2020-12-11,52549,660,43174.5714285714,641.714285714286
2020-12-12,42325,679,43466.4285714286,646.142857142857
2020-12-13,22029,295,42837.7142857143,639.857142857143
2020-12-14,27380,513,42888.5714285714,652.428571428571
2020-12-15,48032,934,42922.2857142857,671.857142857143
2020-12-16,66124,941,44569.8571428571,684.571428571429
2020-12-17,68699,1061,46734,726.142857142857
2020-12-18,52853,817,46777.4285714286,748.571428571429
2020-12-19,48242,659,47622.7142857143,745.714285714286
2020-12-20,24484,418,47973.4285714286,763.285714285714
2020-12-21,27645,562,48011.2857142857,770.285714285714
2020-12-22,56665,969,49244.5714285714,775.285714285714
2020-12-23,45679,965,46323.8571428571,778.714285714286
2020-12-24,58211,760,44825.5714285714,735.714285714286
2020-12-25,21183,482,40301.2857142857,687.857142857143
2020-12-26,17533,296,35914.2857142857,636
2020-12-27,17614,337,34932.8571428571,624.428571428571
2020-12-28,27437,538,34903.1428571429,621
2020-12-29,56371,1051,34861.1428571429,632.714285714286
2020-12-30,55600,1217,36278.4285714286,668.714285714286
2020-12-31,54469,1016,35743.8571428571,705.285714285714
2021-01-01,22939,469,35994.7142857143,703.428571428571
2021-01-02,15353,293,35683.2857142857,703
2021-01-03,17190,311,35622.7142857143,699.285714285714
2021-01-04,25039,596,35280.1428571429,707.571428571429
2021-01-05,58083,1189,35524.7142857143,727.285714285714
